Textbox1,Brand_Name,subject_name1,sa,NM_ID,Barcode,ts_name,Quantity_ForSale_Other,Quantity_ForSale_Novosib,Quantity_ForSale_Khabarovsk,Quantity_ForSale_Krasnodar,Quantity_ForSale_Ekaterinburg,Quantity_ForSale_SPb,price_ru,discount,price_ru_discount
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,DANICA Elite,Рюкзаки,DE-521-3/GREY-1769,8949158,2000135499227,0,3,,,,,,6 975,35,4 533
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,DANICA Elite,Рюкзаки,DE-521-5/BLACK-001,8948210,2000135499111,0,3,,,,,,6 975,45,3 836
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,DANICA Elite,Рюкзаки,DE-7055-6/BRONZE-1754,9212602,2000147053202,0,2,,,1,,,6 975,45,3 836
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,DANICA Elite,Рюкзаки,DE-7055-6/COFFEE-1710,9212103,2000147053196,0,2,,1,,,,6 975,45,3 836
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,DANICA Elite,Рюкзаки,DE-7055-6/WINE-RED-1762,9212026,2000147053189,0,3,,,,,,6 975,45,3 836
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,DANICA Elite,Рюкзаки,DE8505/PURPLE,7962295,2000090160200,0,2,1,,,,,6 750,35,4 387
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,DANICA Elite,Рюкзаки,DEA-7055-1/BRONZE-GOLD-54,9218914,2000147053349,0,3,,,,,,6 975,45,3 836
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,DANICA Elite,Рюкзаки,DEA-7055-2/D-BLUE-1702,9213441,2000147053271,0,3,,,,,,6 975,45,3 836
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,DANICA Elite,Рюкзаки,DE-K-13/BLUE,8543329,2000116710778,0,1,,1,1,,,6 750,45,3 712
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,DANICA Elite,Рюкзаки,DE-K-13/FLASH-ASH,8543261,2000116710730,0,2,,1,,,,6 750,45,3 712
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,DANICA Elite,Сумки,DE0077/GREY,6927241,2000051233301,0,3,,,,,,5 850,45,3 217
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,DANICA Elite,Сумки,DE-0079/DARK-BLUE,8403285,2000112012029,0,2,,,1,,,5 850,45,3 217
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,DANICA Elite,Сумки,DE0329/BLACK-1,8393678,2000111558061,0,2,1,,,,,5 850,45,3 217
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,DANICA Elite,Сумки,DE-1005/COFFEE,9000285,2000138335133,0,3,,,,,,5 850,45,3 217
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,DANICA Elite,Сумки,DE1017/BLACK,7535477,2000073206314,0,2,1,,,,,6 975,45,3 836
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,DANICA Elite,Сумки,DE1062/PURPLE,7626727,2000078680584,0,3,,,,,,5 850,45,3 217
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,DANICA Elite,Сумки,DE1062-1/BROWN_BLACK,7681574,2000078518160,0,3,,,,,,5 850,45,3 217
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,DANICA Elite,Сумки,DE-109/R-BLUE,11118758,2000255546030,0,3,,,,,,6 300,30,4 410
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,DANICA Elite,Сумки,DE-109/T-PURPLE,11118759,2000255546016,0,3,,,,,,6 300,30,4 410
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,DANICA Elite,Сумки,DE-112-88/BEIGE,8534639,2000116749082,0,2,,,,,1,5 850,45,3 217
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,DANICA Elite,Сумки,DE-114-19/D-RED,8540472,2000116749358,0,3,,,,,,5 850,45,3 217
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,DANICA Elite,Сумки,DE-1343-220/1-BLACK,8686131,2000123494029,0,1,,,1,,1,6 750,45,3 712
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,DANICA Elite,Сумки,DE1540-1/BLACK,8062006,2000095926184,0,3,,,,,,6 975,35,4 533
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,DANICA Elite,Сумки,DE2025/1749-KHAKI,9284750,2000150433138,0,3,,,,,,5 850,45,3 217
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,DANICA Elite,Сумки,DE2025/GOLD-SILVER,8467701,2000115098051,0,1,,,2,,,5 850,45,3 217
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,DANICA Elite,Сумки,DE2030/DEEP-PINK-40,8433924,2000113591646,0,2,,,1,,,6 750,45,3 712
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,DANICA Elite,Сумки,DE2086/DOUBLE-PURPLE,8827394,2000130915005,0,2,,1,,,,6 975,45,3 836
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,DANICA Elite,Сумки,DE2086/PURPLE,8825378,2000130533216,0,3,,,,,,6 975,45,3 836
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,DANICA Elite,Сумки,DE2087/TIN-PUTTY,7854583,2000086329307,0,1,,,1,,1,5 850,45,3 217
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,DANICA Elite,Сумки,DE2088/PINK-BRONZE,8858857,2000132394051,0,1,,1,,1,,5 850,45,3 217
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,DANICA Elite,Сумки,DE-2092/PURPLE,9061963,2000140649266,0,2,1,,,,,5 850,45,3 217
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,DANICA Elite,Сумки,DE2802/KHAKI,7631965,2000078680195,0,2,,,,,1,5 850,35,3 802
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,DANICA Elite,Сумки,DE-322/BLACK,11167140,2000256587315,0,3,,,,,,6 975,30,4 882
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,DANICA Elite,Сумки,DE3391/DOUBLE-WHITE,8355590,2000106618008,0,3,,,,,,6 975,45,3 836
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,DANICA Elite,Сумки,DE3391/GRAY,7672228,2000078518184,0,2,,,,1,,6 975,45,3 836
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,DANICA Elite,Сумки,DE3391/PINK,7672230,2000078518214,0,2,,,1,,,6 975,45,3 836
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,DANICA Elite,Сумки,DE3391/PURPLE,7672231,2000078518207,0,1,,,1,,1,6 975,45,3 836
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,DANICA Elite,Сумки,DE372/64,7826622,2000086475578,0,2,,,,,1,6 975,45,3 836
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,DANICA Elite,Сумки,DE372/68,7826623,2000086475486,0,1,,1,1,,,6 975,45,3 836
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,DANICA Elite,Сумки,DE372/CREAM,8308307,2000102407095,0,3,,,,,,6 975,45,3 836
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,DANICA Elite,Сумки,DE372/PEARL-PINK,8308225,2000102407002,0,1,1,1,,,,6 975,45,3 836
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,DANICA Elite,Сумки,DE-5021/WINE-RED,8684633,2000123494692,0,2,,1,,,,6 975,45,3 836
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,DANICA Elite,Сумки,DE619/220-BLACK,9185730,2000145498166,0,3,,,,,,6 975,35,4 533
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,DANICA Elite,Сумки,DE619/81-COFFEE,9183829,2000145498081,0,3,,,,,,6 975,45,3 836
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,DANICA Elite,Сумки,DE672/KHAKI,7870220,2000086329109,0,2,,,1,,,5 850,45,3 217
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,DANICA Elite,Сумки,DE-7065/WINE-062,9805267,2000174604163,0,3,,,,,,6 975,45,3 836
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,DANICA Elite,Сумки,DE713/PINK-027-1,11118763,2000255546092,0,3,,,,,,5 850,30,4 095
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,DANICA Elite,Сумки,DE713/SILVER-737,8440432,2000113591141,0,3,,,,,,5 850,45,3 217
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,DANICA Elite,Сумки,DE-739/SILVER-GREY,8951005,2000135499258,0,3,,,,,,6 975,45,3 836
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,DANICA Elite,Сумки,DE-750/BLACK,9467471,2000158695170,0,3,,,,,,7 200,35,4 680
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,DANICA Elite,Сумки,DE-750/COFFEE,9467911,2000158695187,0,2,,,,,1,7 200,45,3 960
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,DANICA Elite,Сумки,DE77/BLACK-SOFT,11382221,2000269119015,0,3,,,,,,5 850,35,3 802
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,DANICA Elite,Сумки,DE77/DOUBLE-GREEN-SOFT,11382222,2000269119022,0,3,,,,,,5 850,35,3 802
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,DANICA Elite,Сумки,DE77/GOLD-1708,10258696,2000205554047,0,3,,,,,,5 850,45,3 217
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,DANICA Elite,Сумки,DE77/GRAY-1761,10258697,2000205554009,0,2,,,1,,,5 850,35,3 802
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,DANICA Elite,Сумки,DE77/PURPLE,8096791,2000097536008,0,3,,,,,,5 850,45,3 217
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,DANICA Elite,Сумки,DE8611-1/D-BLUE-1702-SKIN,10231126,2000203103094,0,3,,,,,,5 850,45,3 217
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,DANICA Elite,Сумки,DE8611-1/GOLD-SKIN,10231127,2000203103001,0,3,,,,,,5 850,45,3 217
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,DANICA Elite,Сумки,DE8611-1/RED-SUEDE,10231136,2000203103162,0,3,,,,,,5 850,45,3 217
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,DANICA Elite,Сумки,DE8655/GREEN,8392067,2000110609108,0,3,,,,,,6 975,45,3 836
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,DANICA Elite,Сумки,DE8655/PINK,7638705,2000078680140,0,3,,,,,,6 975,35,4 533
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,DANICA Elite,Сумки,DE-8696-3-A/BRIGHT-GREY,8621106,2000121609067,0,2,1,,,,,6 975,45,3 836
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,DANICA Elite,Сумки,DE-8696-3-A/GOLD-GRAY,8621336,2000121609104,0,2,,,1,,,6 975,45,3 836
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,DANICA Elite,Сумки,DE8704/COFFEE-SKIN-1781,10318749,2000210701016,0,3,,,,,,6 975,35,4 533
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,DANICA Elite,Сумки,DE8704/COFFEE-SUEDE,10318750,2000210701092,0,3,,,,,,7 650,45,4 207
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,DANICA Elite,Сумки,DE8704/RED-SUEDE,10318758,2000210701115,0,2,,1,,,,7 650,45,4 207
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,DANICA Elite,Сумки,DE8704/WINE-SKIN,10318759,2000210701047,0,3,,,,,,6 975,35,4 533
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,DANICA Elite,Сумки,DE8704/WINE-SUEDE,10318760,2000210701153,0,3,,,,,,7 650,45,4 207
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,DANICA Elite,Сумки,DE8711/BLACK,7556025,2000073442064,0,2,,,1,,,6 975,35,4 533
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,DANICA Elite,Сумки,DE8711/COFFEE-1710-SKIN,10321358,2000210875120,0,2,,,,1,,6 975,45,3 836
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,DANICA Elite,Сумки,DE8711/COFFEE-1781-SKIN,10321359,2000210875137,0,3,,,,,,6 975,45,3 836
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,DANICA Elite,Сумки,DE8711/GOLD-SKIN,10321361,2000210875144,0,3,,,,,,6 975,45,3 836
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,DANICA Elite,Сумки,DE8711/WINE-SKIN,10321369,2000210875076,0,3,,,,,,6 975,35,4 533
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,DANICA Elite,Сумки,DE8713/FULL-LEATHER-BLACK,8828753,2000130533322,0,1,,,,1,1,6 975,35,4 533
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,DANICA Elite,Сумки,DE-8776/BLACK,9639736,2000166869013,0,3,,,,,,6 975,45,3 836
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,DANICA Elite,Сумки,DE8812/BEIGE,8365779,2000110381400,0,3,,,,,,6 750,45,3 712
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,DANICA Elite,Сумки,DE8812/KHAKI,8365939,2000110381387,0,3,,,,,,6 750,45,3 712
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,DANICA Elite,Сумки,DE8819/BLACK,8366347,2000110381493,0,1,1,,,,1,6 750,45,3 712
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,DANICA Elite,Сумки,DE891/WHITE,8364921,2000110381127,0,3,,,,,,6 750,45,3 712
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,DANICA Elite,Сумки,DE9081/BLUE,7672703,2000078518337,0,2,,,,1,,5 850,45,3 217
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,DANICA Elite,Сумки,DE9081/GRAY-1761,10859176,2000241782008,0,3,,,,,,5 850,30,4 095
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,DANICA Elite,Сумки,DE9081/GREEN-1703,10859177,2000241782046,0,3,,,,,,5 850,30,4 095
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,DANICA Elite,Сумки,DE9081/I-GREEN,10859178,2000241782077,0,2,,,,1,,5 850,30,4 095
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,DANICA Elite,Сумки,DE9081/WINE-1762,10859180,2000241782022,0,3,,,,,,5 850,30,4 095
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,DANICA Elite,Сумки,DE9086/KHAKI,7966231,2000090160132,0,,,,1,2,,5 850,45,3 217
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,DANICA Elite,Сумки,DE91269/65-PINK,7867733,2000086329390,0,,,1,,,2,5 850,45,3 217
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,DANICA Elite,Сумки,DE91280/GRAY-1782,9995502,2000185145051,0,2,,,,,1,5 850,45,3 217
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,DANICA Elite,Сумки,DE91280/WINE-1762,9995506,2000185145006,0,3,,,,,,5 850,45,3 217
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,DANICA Elite,Сумки,DE-91282/68-L-GRAY,8304712,2000103918279,0,2,,,,1,,5 850,45,3 217
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,DANICA Elite,Сумки,DE-91282/69-GRAY,8395334,2000110609009,0,2,,1,,,,5 850,45,3 217
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,DANICA Elite,Сумки,DE-91366/1727-PURPLE,8972361,2000137018075,0,2,1,,,,,6 975,45,3 836
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,DANICA Elite,Сумки,DE-919/GRAY-1,8296320,2000103918378,0,3,,,,,,5 850,45,3 217
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,DANICA Elite,Сумки,DE9783/DOUBLE_PINK,7681313,2000078518474,0,3,,,,,,6 750,45,3 712
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,DANICA Elite,Сумки,DE9785/DOUBLE-GREY,7852302,2000086329352,0,3,,,,,,6 750,45,3 712
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,DANICA Elite,Сумки,DE-9902/BLACK,9470949,2000158695620,0,3,,,,,,6 300,35,4 095
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,DANICA Elite,Сумки,DE-9902/COFFEE,9470353,2000158695637,0,3,,,,,,6 300,45,3 465
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,DANICA Elite,Сумки,DE-9916-5/WINE-RED,9057047,2000140649051,0,3,,,,,,5 850,45,3 217
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,DANICA Elite,Сумки,DE9921/PINK,7959530,2000090160262,0,3,,,,,,6 975,45,3 836
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,DANICA Elite,Сумки,DE-A-009/BLACK,9470952,2000158695415,0,3,,,,,,5 850,45,3 217
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,DANICA Elite,Сумки,DEA-1324-220-YH/PEARL-GRAY,8246542,2000100774359,0,2,,,,,1,5 850,45,3 217
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,DANICA Elite,Сумки,DE-A-1972/DARK-GRAY,9640934,2000166869068,0,3,,,,,,5 850,45,3 217
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,DANICA Elite,Сумки,DE-A-2027/WINE-RED,9724623,2000169831420,0,3,,,,,,5 850,45,3 217
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,DANICA Elite,Сумки,DEA362/GRAY,7672059,2000078518368,0,2,1,,,,,5 850,45,3 217
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,DANICA Elite,Сумки,DE-A-362-2/I-GREEN,10859843,2000241782176,0,2,,1,,,,5 850,30,4 095
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,DANICA Elite,Сумки,DEA363/COFFEE,6890109,2000049435007,0,3,,,,,,6 750,45,3 712
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,DANICA Elite,Сумки,dea-379/pink,7893315,2000100913000                 ,0,2,,,1,,,5 850,45,3 217
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,DANICA Elite,Сумки,DEA-384/ANCIENT_GOLD,8307929,2000102407040,0,3,,,,,,5 850,45,3 217
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,DANICA Elite,Сумки,DEA-384/FLASH_BLUE,7810184,2000086026008,0,2,,1,,,,5 850,45,3 217
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,DANICA Elite,Сумки,DEA-403/FLASH-ASH,8553889,2000116748795,0,3,,,,,,5 850,45,3 217
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,DANICA Elite,Сумки,DEA-403/PURPLE,8536350,2000116748801                 ,0,3,,,,,,5 850,45,3 217
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,DANICA Elite,Сумки,DEA-406/BLACK,8526191,2000116748962,0,2,,,,,1,5 850,35,3 802
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,DANICA Elite,Сумки,DEA6010/BLACK-001,8382042,2000110642273,0,3,,,,,,5 850,45,3 217
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,DANICA Elite,Сумки,DEA-6017/BLACK-001,8374810,2000108696202,0,2,,,1,,,5 850,45,3 217
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,DANICA Elite,Сумки,DEA6078/PEARL-GREY-1769,7816084,2000086475424,0,3,,,,,,6 300,45,3 465
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,DANICA Elite,Сумки,DEA6090/LIGHT-BLUE-1755,7826989,2000086475356,0,1,1,,1,,,6 300,45,3 465
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,DANICA Elite,Сумки,DEA7053/BLACK-001,8239672,2000102511006,0,3,,,,,,5 850,45,3 217
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,DANICA Elite,Сумки,DEA743/LIGHT-PINK-53,8382979,2000110642020,0,3,,,,,,5 850,45,3 217
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,DANICA Elite,Сумки,DEA743/PEARL-POWDER-1788,8382569,2000110642112,0,3,,,,,,5 850,45,3 217
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,DANICA Elite,Сумки,DEA743/SILVER-737,8386859,2000110642303,0,1,,,1,,1,5 850,45,3 217
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,DANICA Elite,Сумки,DEb330/GREEN-SUEDE,10859293,2000241782251,0,3,,,,,,7 650,30,5 355
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,DANICA Elite,Сумки,DEb330/RED-SUEDE,10859294,2000241782237,0,3,,,,,,7 650,30,5 355
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,DANICA Elite,Сумки,DEb330/WINE-SUEDE,10859295,2000241782220,0,3,,,,,,7 650,30,5 355
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,DANICA Elite,Сумки,DE-H-3498/BEIGE,8305162,2000103918873,0,3,,,,,,6 750,45,3 712
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,DANICA Elite,Сумки,DE-H3565-1/BEIGE,8305108,2000103918286,0,3,,,,,,6 750,45,3 712
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,DANICA Elite,Сумки,DE-H3591/BEIGE,8292959,2000103918316,0,3,,,,,,6 750,45,3 712
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,DANICA Elite,Сумки,DE-KO25/BLACK,8394016,2000103918019,0,3,,,,,,5 850,45,3 217
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,DANICA Elite,Сумки,DEX700/81COFFEE,7828156,2000086475240,0,1,1,,,,1,5 850,45,3 217
Данные по остаткам на: 08.03.2020 6:15:00.    Данные по цене и скидке на: 08.03.2020 7:01:09,DANICA Elite,Сумки,DEX700/88L-PINK,7828157,2000086475257,0,,1,,1,1,,5 850,45,3 217
